,Max,Min,Mean,Std,RMS,Skewness,Kurtosis,P2P,Crest Factor,Variance,Fault,Defect
621,0.33,-0.1,0.131619718,0.06346088,0.146106064,-0.132913065,-0.149122826,0.23,2.258633155,0.004027283,Healthy,No
622,0.9,0.0,0.136744422,0.06872183,0.153025936,1.458214024,14.58093829,0.9,5.881355951,0.00472269,Healthy,No
623,0.33,0.0,0.135390071,0.065268402,0.150286791,0.016460845,-0.297682212,0.33,2.195801759,0.004259964,Healthy,No
624,0.38,-0.1,0.135570131,0.06586068,0.150706711,0.051980425,0.015901752,0.28,2.521453746,0.004337629,Healthy,No
625,0.96,0.0,0.136478305,0.067885891,0.152414473,1.676896905,20.82069079,0.96,6.298614442,0.004608494,Healthy,No
626,0.33,-0.1,0.135293522,0.063168731,0.149300325,-0.073683156,-0.173889102,0.23,2.210309991,0.003990289,Healthy,No
627,0.36,-0.1,0.138345106,0.064514394,0.15263445,-0.03418502,0.044863879,0.26,2.358576316,0.004162107,Healthy,No
628,1.0,0.0,0.136325911,0.075033009,0.155592442,3.484357342,35.25042403,1.0,6.427047389,0.005629952,Healthy,No
629,0.9,-0.1,0.134539007,0.066560418,0.150088458,1.438698428,17.09121268,0.8,5.996463784,0.004430289,Healthy,No
630,0.91,0.0,0.134476861,0.057858545,0.14638398,2.386787581,31.5314248,0.91,6.216527243,0.003347611,Healthy,No
631,0.35,-0.1,0.133430878,0.064516344,0.148195673,0.068136698,0.057549351,0.25,2.361742364,0.004162359,Healthy,No
632,0.35,-0.2,0.136720484,0.063916309,0.150909453,-0.07017365,0.719667259,0.15,2.319271546,0.004085295,Healthy,No
633,0.32,0.0,0.134586694,0.063591076,0.148839936,0.02983493,-0.252278476,0.32,2.14996061,0.004043825,Healthy,No
634,0.35,-0.9,0.133030303,0.072331594,0.151405536,-2.913617716,40.80051602,-0.55,2.311672406,0.00523186,Healthy,No
635,0.9,0.0,0.135542047,0.065982856,0.150734776,1.599211984,17.51890255,0.9,5.970752237,0.004353737,Healthy,No
636,0.33,-0.1,0.13040404,0.062906019,0.144770107,-0.022203627,-0.068406166,0.23,2.27947611,0.003957167,Healthy,No
637,0.99,-1.0,0.129020202,0.077895406,0.150691001,-1.664700156,57.99459281,-0.01,6.569735376,0.006067694,Healthy,No
638,0.93,0.0,0.129848943,0.072284701,0.148595303,2.676543592,26.82471913,0.93,6.258609686,0.005225078,Healthy,No
639,0.38,0.0,0.132246964,0.062716387,0.146351028,0.154687577,-0.096180583,0.38,2.59649696,0.003933345,Healthy,No
640,0.96,0.0,0.132373737,0.068502114,0.149032232,1.876462047,20.68624501,0.96,6.441559585,0.00469254,Healthy,No
641,0.29,-0.1,0.13416499,0.054528621,0.144812374,-0.133567848,-0.042757585,0.19,2.002591294,0.002973371,Healthy,No
